,Etablissement,Code de la Formation,Type de Diplôme,Type de formation,Enseignement,Paiement,Intitulé  du Programme,Domaine,Mention,Spécialité,Option
0,UCAD,312,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Mathématiques",Sciences et Technologies,Mathématiques,Enseignement,
1,UCAD,339,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Physique-Chimie",Sciences et Technologies,Physique-Chimie,Enseignement,
2,UCAD,359,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Sciences de la vie et de la Terre",Sciences et Technologies,Sciences de la Vie et de la Terre,Enseignement,
3,UCAD,313,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Mathématiques",Sciences et Technologies,Mathématiques,Enseignement,
4,UCAD,340,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Physique-Chimie",Sciences et Technologies,Physique-Chimie,Enseignement,
5,UCAD,360,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Sciences de la Vie et de la Terre",Sciences et Technologies,Sciences de la Vie et de la Terre,Enseignement,
6,UCAD,309,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM),  Mention: Mathématiques",Sciences et Technologies,Mathématiques,Enseignement,Mathématiques-informatique
7,UCAD,311,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM),  Mention: Matématiques, Option : matématiques/physique-chimie: physique-chimie",Sciences et Technologies,Mathématiques,Enseignement,Mathématiques-Sience de la Vie et de la Terre
8,UCAD,310,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: Mathématiques, Option : matématiques/physique-chimie: mathématiques",Sciences et Technologies,Mathématiques,Enseignement,Mathématiques-Phyique Chimie
9,UCAD,453,Certificat d'Aptitude a l'Enseignement,Non déterminée,Présentielle,Non déterminée,"Certificat d'Aptitude à l'Enseignement moyen technique pratique (CAEMTP), mention sciences et technologies industrielles",Sciences et Technologies,Sciences et technologies industrielles,Formation professionnelle et technique,Technologie de l'habillement
