Etablissement,Code de la Formation,Type de Diplôme,Type de formation,Enseignement,Paiement,Intitulé  du Programme,Domaine,Mention,Spécialité,Option
UCAD,312,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Mathématiques",Sciences et Technologies,Mathématiques,Enseignement,aucune
UCAD,339,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Physique-Chimie",Sciences et Technologies,Physique-Chimie,Enseignement,aucune
UCAD,359,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Sciences de la vie et de la Terre",Sciences et Technologies,Sciences de la Vie et de la Terre,Enseignement,aucune
UCAD,313,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Mathématiques",Sciences et Technologies,Mathématiques,Enseignement,aucune
UCAD,340,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Physique-Chimie",Sciences et Technologies,Physique-Chimie,Enseignement,aucune
UCAD,360,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Sciences de la Vie et de la Terre",Sciences et Technologies,Sciences de la Vie et de la Terre,Enseignement,aucune
UCAD,309,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM),  Mention: Mathématiques",Sciences et Technologies,Mathématiques,Enseignement,Mathématiques-informatique
UCAD,311,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM),  Mention: Matématiques, Option : matématiques/physique-chimie: physique-chimie",Sciences et Technologies,Mathématiques,Enseignement,Mathématiques-Sience de la Vie et de la Terre
UCAD,310,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: Mathématiques, Option : matématiques/physique-chimie: mathématiques",Sciences et Technologies,Mathématiques,Enseignement,Mathématiques-Phyique Chimie
UCAD,453,Certificat d'Aptitude a l'Enseignement,Non déterminée,Présentielle,Non déterminée,"Certificat d'Aptitude à l'Enseignement moyen technique pratique (CAEMTP), mention sciences et technologies industrielles",Sciences et Technologies,Sciences et technologies industrielles,Formation professionnelle et technique,Technologie de l'habillement
UCAD,454,Certificat d'Aptitude a l'Enseignement,Initiale,Présentielle,Mixte,"Certificat d'Aptitude à l'Enseignement secondaire technique et professionnel (CAESTP), Sciences, techniques et technologies industrielles",Sciences et Technologies,"Sciences,techniques et technolgies industrielles",Formation professionnelle et technique,"Construction mécanique, Electrotechnique, Fabrication mécanique, Maintenance véhicules moteurs, Structures et Ouvrages métalliques, Génie civil, Froid et Climatisation, Techniques agricoles, Techniques horticoles, Informatique, Maintenance industrielle"
UCAD,445,Autre Certificat,Non déterminée,Présentielle,Non déterminée,"Certificat d'aptitude au professorat de l'éducation physique et sportive, mention Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, spécialité éducation et motricité",Sciences et Technologies,"Sciences et Techniques des Activites Physques,sportives,de jeunesse et du loisir",Education et Motricité,aucune
UCAD,343,Diplôme Universitaire,Non déterminée,Présentielle,Non déterminée,Diplôme Universitaire en Horticulture (DUH),Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,aucune
UCAD,367,Diplôme d'Études,Continue,Présentielle,Payante,Diplôme d'Etudes Supérieures Spécialisées en Pêche et Aquaculture,Sciences et Technologies,Sciences de l'ingénieur,"Pêche, Aquaculture, Transformaion des produits halieutiques",aucune
UCAD,375,Diplôme d'Ingénieur,Initiale,Présentielle,Non Payante,Diplôme d'Ingénieur géologue,Sciences et Technologies,Géosciences,Géologie,aucune
